Year,Month,Day,Mean_Temperature
2019,8,1,29.4
2019,8,2,29.5
2019,8,3,29.3
2019,8,4,29.4
2019,8,5,29.3
2019,8,6,29.1
2019,8,7,28.7
2019,8,8,29.2
2019,8,9,29.2
2019,8,10,29.2
2019,8,11,29.6
2019,8,12,29.8
2019,8,13,29.5
2019,8,14,29.3
2019,8,15,29.5
2019,8,16,29.8
2019,8,17,29.5
2019,8,18,29.7
2019,8,19,29.5
2019,8,20,29.5
2019,8,21,29.4
2019,8,22,29.4
2019,8,23,29.6
2019,8,24,29.4
2019,8,25,28.5
2019,8,26,27.8
2019,8,27,27
2019,8,28,26.8
2019,8,29,28.9
2019,8,30,28.9
2019,8,31,29.1
2019,9,1,29.3
2019,9,2,29.7
2019,9,3,29.5
2019,9,4,29.3
2019,9,5,29.4
2019,9,6,29.3
2019,9,7,29.5
2019,9,8,29.4
2019,9,9,29.5
2019,9,10,29.3
2019,9,11,29.4
2019,9,12,29.4
2019,9,13,29.3
2019,9,14,28.6
2019,9,15,28.9
2019,9,16,29
2019,9,17,29.2
2019,9,18,29.3
2019,9,19,29.4
2019,9,20,29.1
2019,9,21,29.4
2019,9,22,29.3
2019,9,23,28.3
2019,9,24,29
2019,9,25,26.8
2019,9,26,28.5
2019,9,27,29.2
2019,9,28,28.9
2019,9,29,28.4
2019,9,30,27.5
2020,9,1,28.3
2020,9,2,28.6
2020,9,3,27.6
2020,9,4,27.6
2020,9,5,25.5
2020,9,6,26.5
2020,9,7,28.1
2020,9,8,28.4
2020,9,9,28.5
2020,9,10,28
2020,9,11,27.5
2020,9,12,26.3
2020,9,13,25
2020,9,14,25.6
2020,9,15,27.7
2020,9,16,26.7
2020,9,17,28
2020,9,18,29
2020,9,19,28.6
2020,9,20,28.7
2020,9,21,26.3
2020,9,22,27.6
2020,9,23,28.6
2020,9,24,28.4
2020,9,25,28.4
2020,9,26,26.2
2020,9,27,26.7
2020,9,28,28.3
2020,9,29,27.2
2020,9,30,28.1
2020,8,1,28.5
2020,8,2,28.9
2020,8,3,29.2
2020,8,4,27.9
2020,8,5,28.8
2020,8,6,29.2
2020,8,7,29.4
2020,8,8,29.7
2020,8,9,29.6
2020,8,10,29.7
2020,8,11,29.5
2020,8,12,27.9
2020,8,13,28.3
2020,8,14,25.9
2020,8,15,28
2020,8,16,28
2020,8,17,27.4
2020,8,18,27.1
2020,8,19,28
2020,8,20,28.1
2020,8,21,29.6
2020,8,22,27.9
2020,8,23,25.6
2020,8,24,28.1
2020,8,25,27.9
2020,8,26,27
2020,8,27,27.8
2020,8,28,28.9
2020,8,29,27.2
2020,8,30,28.6
2020,8,31,29
2021,5,1,28.4
2021,5,2,29.4
2021,5,3,29.5
2021,5,4,29.4
2021,5,5,28.1
2021,5,6,27.5
2021,5,7,28.5
2021,5,8,28.2
2021,5,9,27.8
2021,5,10,29.3
2021,5,11,29.7
2021,5,12,28
2021,5,13,29
2021,5,14,28.4
2021,5,15,28
2021,5,16,29.3
2021,5,17,28.6
2021,5,18,26.4
2021,5,19,27.7
2021,5,20,28.8
2021,5,21,27.8
2021,5,22,27.8
2021,5,23,29.5
2021,5,24,29.8
2021,5,25,30
2021,5,26,29.6
2021,5,27,29.4
2021,5,28,29.2
2021,5,29,28.3
2021,5,30,29.1
2021,5,31,29.3
2021,4,1,30.4
2021,4,2,28.6
2021,4,3,27.8
2021,4,4,27
2021,4,5,27
2021,4,6,28.4
2021,4,7,29.2
2021,4,8,27.8
2021,4,9,28.5
2021,4,10,29.2
2021,4,11,29.2
2021,4,12,28.5
2021,4,13,28.8
2021,4,14,28.5
2021,4,15,26.8
2021,4,16,27.7
2021,4,17,25.8
2021,4,18,28
2021,4,19,28.4
2021,4,20,29
2021,4,21,29.1
2021,4,22,27.2
2021,4,23,29.1
2021,4,24,26.4
2021,4,25,28.8
2021,4,26,28.3
2021,4,27,27.7
2021,4,28,28.4
2021,4,29,29
2021,4,30,28.7
2021,6,1,29.2
2021,6,2,29.3
2021,6,3,29.6
2021,6,4,30
2021,6,5,29.6
2021,6,6,29.7
2021,6,7,29.6
2021,6,8,29.3
2021,6,9,28.8
2021,6,10,28
2021,6,11,28.5
2021,6,12,28.7
2021,6,13,28.4
2021,6,14,29
2021,6,15,27.6
2021,6,16,28.1
2021,6,17,29
2021,6,18,26.6
2021,6,19,28.2
2021,6,20,27.4
2021,6,21,28.6
2021,6,22,28.4
2021,6,23,29
2021,6,24,28.2
2021,6,25,27.4
2021,6,26,27.8
2021,6,27,27.5
2021,6,28,28.8
2021,6,29,27.6
2021,6,30,28.1
2021,3,1,28.3
2021,3,2,28.3
2021,3,3,28.5
2021,3,4,28.5
2021,3,5,28.8
2021,3,6,28.8
2021,3,7,26.5
2021,3,8,27.7
2021,3,9,28
2021,3,10,28.1
2021,3,11,28.3
2021,3,12,27.4
2021,3,13,28
2021,3,14,27.5
2021,3,15,27.7
2021,3,16,28
2021,3,17,27.5
2021,3,18,28.1
2021,3,19,28.7
2021,3,20,28
2021,3,21,28.9
2021,3,22,28.6
2021,3,23,28
2021,3,24,25.7
2021,3,25,26.2
2021,3,26,28.3
2021,3,27,27.1
2021,3,28,28.4
2021,3,29,27.5
